DIST|BLK|CLUST|SCODE|SNAME|MOI|STUID|CSEX|CLANG|ASSMNTNAME|PROGNAME|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|
' bangalore '|' bangalore state        '|' wilson garden                   '|34067|' ADUGODI POLICE QUARTRESS '|' kannada '|1686061|' male   '|' kannada       '|' Pretest(Age 2.5-4.5) '|' Anganwadi-Bangalore '|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|||||||||
' bangalore '|' sumangali seva ashrama '|' sultanpalya                     '|34120|' A K COLONY               '|' kannada '|1685543|' male   '|' sindhi        '|' Pretest(Age 4.5-6)   '|' Anganwadi-Bangalore '|1|1|1|1|1|1|0|0|1|1|0|1|1|0|1|1|1|0|1|1|1|1|1|0|0|1|0|0|0|0|
' bangalore '|' bangalore state        '|' banashankari                    '|33730|' ILAYAZ NAGAR             '|' kannada '|1685546|' male   '|' kannada       '|' Pretest(Age 2.5-4.5) '|' Anganwadi-Bangalore '|1|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|||||||||
' bangalore '|' sumangali seva ashrama '|' dodda banaswadi                 '|34137|' SUGAR MANDI              '|' kannada '|1640612|' male   '|' urdu          '|' Pretest(Age 2.5-4.5) '|' Anganwadi-Bangalore '|1|1|1|1|1|1|1|1|1|1|1|1|0|0|1|1|1|0|0|1|1|1|||||||||
' bangalore '|' sumangali seva ashrama '|' dodda banaswadi                 '|34129|' MUSLIM COLONY            '|' kannada '|1683679|' male   '|' urdu          '|' Pretest(Age 2.5-4.5) '|' Anganwadi-Bangalore '|0|1|1|1|1|1|0|1|0|1|1|0|1|1|1|0|1|1|1|1|1|1|||||||||
' bangalore '|' bangalore central      '|' sir m vishweshwariah 1st circle '|35478|' KALYAN NAGAR             '|' kannada '|1683911|' female '|' kannada       '|' Pretest(Age 2.5-4.5) '|' Anganwadi-Bangalore '|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|0|||||||||
' bangalore '|' sumangali seva ashrama '|' sultanpalya                     '|34120|' A K COLONY               '|' kannada '|1685550|' female '|' urdu          '|' Pretest(Age 4.5-6)   '|' Anganwadi-Bangalore '|1|1|0|1|0|1|0|0|1|1|0|1|1|1|1|1|1|1|0|1|1|1|1|0|0|0|1|1|0|0|
' bangalore '|' sumangali seva ashrama '|' murphy town                     '|34122|' JYOTHINAGAR              '|' kannada '|1685977|' female '|' kannada       '|' Pretest(Age 2.5-4.5) '|' Anganwadi-Bangalore '|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|||||||||
' bangalore '|' bangalore state        '|' banashankari                    '|33730|' ILAYAZ NAGAR             '|' kannada '|1685459|' female '|' kannada       '|' Pretest(Age 2.5-4.5) '|' Anganwadi-Bangalore '|1|1|1|1|1|1|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|||||||||
' bangalore '|' bangalore state        '|' wilson garden                   '|34107|' SIDDA PURA 2             '|' kannada '|1685684|' female '|' kannada       '|' Pretest(Age 2.5-4.5) '|' Anganwadi-Bangalore '|0|1|1|1|1|0|0|1|1|1|1|1|0|1|0|0|0|1|0|1|1|0|||||||||
' bangalore '|' sumangali seva ashrama '|' sultanpalya                     '|35468|' RAGGAPPA BLOCK           '|' kannada '|1686423|' female '|' urdu          '|' Pretest(Age 2.5-4.5) '|' Anganwadi-Bangalore '|1|1|1|0|1|1|1|1|1|0|0|0|1|1|1|1|1|1|0|1|1|1|||||||||
' bangalore '|' bangalore state        '|' banashankari                    '|33730|' ILAYAZ NAGAR             '|' kannada '|1685610|' female '|' kannada       '|' Pretest(Age 4.5-6)   '|' Anganwadi-Bangalore '|1|1|1|1|1|1|1|1|1|1|1|1|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1|0|0|0|
' bangalore '|' bangalore central      '|' sir m vishweshwariah 1st circle '|35478|' KALYAN NAGAR             '|' kannada '|1683906|' female '|' kannada       '|' Pretest(Age 2.5-4.5) '|' Anganwadi-Bangalore '|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|0|||||||||
' bangalore '|' bangalore state        '|' banashankari                    '|30518|' CAUVERI NAGAR 2          '|' kannada '|1686062|' male   '|' kannada       '|' Pretest(Age 2.5-4.5) '|' Anganwadi-Bangalore '|1|1|1|0|1|1|1|0|1|1|1|1|1|1|1|1|1|1|0|0|0|1|||||||||
' bangalore '|' sumangali seva ashrama '|' sultanpalya                     '|34142|' BANGAR GIRI              '|' kannada '|1685884|' male   '|' kannada       '|' Pretest(Age 2.5-4.5) '|' Anganwadi-Bangalore '|1|0|0|1|1|1|1|1|0|1|1|1|0|1|0|0|0|1|1|0|1|0|||||||||
' bangalore '|' sumangali seva ashrama '|' sultanpalya                     '|34116|' CHAMUNDI NAGAR           '|' kannada '|1686417|' female '|' urdu          '|' Pretest(Age 2.5-4.5) '|' Anganwadi-Bangalore '|1|1|1|1|1|0|1|1|1|1|1|1|0|1|1|1|1|1|1|1|1|0|||||||||
' bangalore '|' sumangali seva ashrama '|' sultanpalya                     '|34142|' BANGAR GIRI              '|' kannada '|1685893|' female '|' kannada       '|' Pretest(Age 2.5-4.5) '|' Anganwadi-Bangalore '|1|1|1|1|1|1|1|1|1|1|1|1|0|1|0|1|1|1|0|1|1|0|||||||||
' bangalore '|' sumangali seva ashrama '|' sultanpalya                     '|34144|' REHMATH NAGAR            '|' kannada '|1686161|' female '|' urdu          '|' Pretest(Age 2.5-4.5) '|' Anganwadi-Bangalore '|1|1|1|1|1|1|1|1|0|1|1|1|1|1|1|1|1|1|1|1|0|0|||||||||
' bangalore '|' bangalore state        '|' wilson garden                   '|34107|' SIDDA PURA 2             '|' kannada '|1685693|' male   '|' urdu          '|' Pretest(Age 2.5-4.5) '|' Anganwadi-Bangalore '|0|1|0|1|1|1|1|1|1|1|1|0|1|0|0|0|1|1|1|1|0|0|||||||||
' bangalore '|' sumangali seva ashrama '|' sultanpalya                     '|34121|' RIZWAN COMPOUND          '|' kannada '|1664812|' female '|' kannada       '|' Pretest(Age 2.5-4.5) '|' Anganwadi-Bangalore '|1|1|1|1|1|1|0|0|0|1|1|1|1|1|1|1|0|1|0|0|1|0|||||||||
' bangalore '|' bangalore state        '|' banashankari                    '|33730|' ILAYAZ NAGAR             '|' kannada '|1685667|' male   '|' kannada       '|' Pretest(Age 4.5-6)   '|' Anganwadi-Bangalore '|1|1|1|1|1|1|1|1|1|1|1|1|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1|0|0|
