sl no|    block    |   cluster   |         school_name         | klp_id | cls1_cnt | cls2_cnt | cls3_cnt | cls4_cnt | cls5_cnt | cls6_cnt | cls7_cnt 
1| devanahalli | boodigere   | GKLPS DEVANAYAKANAHALLI     |36181|5|8|4|7|7|6|0
2| devanahalli | boodigere   | GKHPS BOODGERE              |36178|14|24|24|26|41|38|0
3| devanahalli | boodigere   | GKHPS GANGAWARA             |36182|11|12|11|8|7|9|0
4| devanahalli | boodigere   | GKHPS HANDARAHALLI          |36180|12|9|5|12|12|13|0
5| devanahalli | boodigere   | GKLPS HITTARANAHALLI        |36177|1|6|1|5|7|3|0
6| devanahalli | boodigere   | GKLPS NAGENAHALLI           |36174|1|3|2|4|2|0|0
7| devanahalli | boodigere   | GKHPS SOMATHANAHALLI        |36172|7|6|10|2|8|12|0
8| devanahalli | boodigere   | GKLPS KAGGALAHALLI          |36176|3|8|10|10|3|5|0
9| devanahalli | boodigere   | GKLPS KONDENAHALLI          |36175|8|14|9|8|13|9|0
10| devanahalli | boodigere   | GKHPS BHATTAMARANAHALLI     |36705|7|5|4|8|4|8|0
11| devanahalli | boodigere   | GKLPS CHOWDAPPANAHALLI      |36173|6|6|3|4|6|3|0
12| devanahalli | channahalli | GKLPS Boodihala             |36720|0|5|4|6|4|0|0
13| devanahalli | devanahalli | GKLPS Poojammana Palya      |36721|6|8|5|5|0|0|0
14| devanahalli | sadahalli   | GKLPS T. Hosahalli          |36722|3|7|2|3|3|0|0
15| devanahalli | nalluru     | GKHPS Biddalapura           |36723|0|6|6|12|8|0|0
16| devanahalli | sadahalli   | GKLPS KEMPALINGANAPURA      |36724|3|0|3|1|6|0|0
17| devanahalli | channahalli | GKLPS DODDAHOSAHALLI        |36725|0|1|2|3|1|0|0
18| devanahalli | devanahalli | GKLPS  D V M COLONY         |36726|15|19|14|15|12|0|0
19| devanahalli | nalluru     | GKHPS Nalluru               |36727|0|4|6|4|6|0|0
20| devanahalli | channahalli | GKLPS T AGRAHARA            |36728|0|2|4|7|6|0|0
21| devanahalli | sadahalli   | GKLPS BHOVI PALYA           |36729|3|9|9|4|2|0|0
22| devanahalli | channahalli | GKLPS CHIKKAHOSAHALLI       |36730|0|1|2|2|6|0|0
23| devanahalli | nalluru     | GKHPS BALEPURA              |36731|0|7|12|13|13|0|0
24| devanahalli | channahalli | GKHPS RAYASANDRA            |36732|0|8|12|12|4|0|0
25| devanahalli | devanahalli | GKLPS PRASANNAHALLI         |36733|11|10|5|0|3|0|0
26| devanahalli | channahalli | GKHPS POLANAHALLI           |36734|0|5|8|7|15|0|0
