School_code|School_name|District_name
29010200101|GOVT. COMP. HIGH SCHOOL, ANIGOL|BELGAUM                                           
29010200201|GOVT HIGH SCHOOL, AMTUR|BELGAUM                                           
29010200701|GOVT. URDU GIRLS HIGH SCHOOL, BAILHONGAL|BELGAUM                                           
29010200702|SNVVS SGV COMP JR COL, BILLUR GALLI, MURUSAVIRAMATH, BAILHONGAL|BELGAUM                                           
29010200703|MSSR HIGH SCHOOL, HOSUR ROAD, BAILHONGAL|BELGAUM                                           
29010200704|MOULANA ABULKALAM AZAD HIGH SCHOOL, INCHAL ROAD, BAILHONGAL|BELGAUM                                           
29010200706|GOVT HIGH SCHOOL, NEAR BEO OFFICE, BAILHONGAL|BELGAUM                                           
29010200707|NAVODAYA MODEL RESIDENTIAL SCHOOL, NAVODAY MODEL RESIDENTAL SCHOOL, BAILHONGAL|BELGAUM                                           
29010200708|SHRI MARADI BASAVESHWAR HIGH SCHOOL, INDIRA NAGAR, BAILHONGAL|BELGAUM                                           
29010200709|RUDRAXIMATH HIGH SCHOOL, BAILHONGAL|BELGAUM                                           
29010200710|KRCES KANNADA MEDIUM HIGH SCHOOL, HOSUR ROAD, BAILHONGAL|BELGAUM                                           
29010200711|SNVVS SGV RESIDENTIAL SCHOOL, BAILHONGAL|BELGAUM                                           
29010200712|VB CHINAGUDI ENG MED HIGH SCHOOL, MOORUSAVIRMATH, BAILHONGAL|BELGAUM                                           
29010200713|SNVVS SGV KANNADA MED. HIGH SCHOOL, BAILHONGAL|BELGAUM                                           
29010200714|GGD/BMP PU COLLEGE, BAILHONGAL (PUC)|BELGAUM                                           
29010200715|SGV PU COLLEGE, BAILHONGAL (PUC)|BELGAUM                                           
29010200716|KLS PU COLLEGE, BAILHONGAL (PUC)|BELGAUM                                           
29010200717|BASAVESHWAR PU COLLEGE, BAILHONGAL (PUC)|BELGAUM                                           
29010200718|KANAKADAS INDEPENDENT PU COLLEGE, BAILHONGAL (PUC)|BELGAUM                                           
29010200719|GOVT. PU COLLEGE, BAILHONGAL (PUC)|BELGAUM                                           
29010200720|SNVVS, SGV COMP JR COLLEGE, BAILHONGAL (PUC)|BELGAUM                                           
29010200721|KLESS GI BAGEWADI PU COLLEGE, ARTS, SCIENCE & COMMERCE, NIPANI (PUC)|BELGAUM                                           
29010200801|GOVT. PU COLLEGE, BAILWAD|BELGAUM                                           
29010200802|GOVT. PU COLLEGE, BAILWAD, (PUC)|BELGAUM                                           
29010200901|GOVT. COMP HIGH SCHOOL, BEVINAKOPPA|BELGAUM                                           
29010201601|GOVT. COMP. HIGH SCHOOL, BAILUR|BELGAUM                                           
29010201701|GOVT. HIGH SCHOOL, BELWADI|BELGAUM                                           
29010201702|VRMS COMP PU COLLEGE, BELAWADI|BELGAUM                                           
29010201703|VRM PU COLLEGE, BELAVADI (PUC)|BELGAUM                                           
29010201801|GOVT. HIGH SCHOOL, BUDIHAL|BELGAUM                                           
29010201901|SNVVSFS PATIL HIGH SCHOOL, BUARAKATTI|BELGAUM                                           
29010202101|GOVT. COMP HIGH SCHOOL, CHIKKABAGEWADI|BELGAUM                                           
29010202501|G H S CHIKKABELLIKATTI (SRI. M.M.A)|BELGAUM                                           
29010202701|GOVT. PU COLLEGE, DEVALAPUR (PUC)|BELGAUM                                           
29010202901|VISHWA BHARATI HIGH SCHOOL, DEVARASHIGIHALLI|BELGAUM                                           
29010203401|S. V. HIGH SCHOOL, DODWAD|BELGAUM                                           
29010203501|SHRI SHIDDALINGESHWAR HIGH SCHOOL, DESHUR|BELGAUM                                           
29010204201|GOVT. PU COLLEGE, GOVINAKOPPA (PUC)|BELGAUM                                           
29010204601|GOVT. HIGH SCHOOL, HOLIHOSUR|BELGAUM                                           
29010204801|GOVT. COMP. PU COLLEGE, HUNASHIKATTI|BELGAUM                                           
29010204802|GOVT. COMP PU COLLEGE, HUNASHIKATTI (PUC)|BELGAUM                                           
