District_code|School_code|School_name
AN|AN0001|GOVERNMENT JUNIOR COLLEGE FOR BOYS 18TH CROSS MALLESWARAM BANGALORE NORTH 
AN|AN0002|CORPORATION BOYS HIGH SCHOOL PILLANNA GRDN BANGALORE NORTH 
AN|AN0003|CORPORATION HIGH SCHOOL BROADWAY BANGALORE NORTH 
AN|AN0004|CORPORATION HIGH SCHOOL MALLESHWARAM BANGALORE NORTH 
AN|AN0005|CORPORATION HIGH SCHOOL TASKER TOWN BANGALORE NORTH 
AN|AN0006|ST.JOSEPHS INDIAN HIGH SCHOOL 23  GRANT ROAD BANGALORE NORTH 
AN|AN0007|R.B.A.N.M.S HIGH SCHOOL  (MAIN) NO. 30  DICKENSON ROAD BANGALORE NORTH 
AN|AN0008|QUWATHUL ISLAM HIGH SCHOOL NO.8  BOREBANK RD  BENSON TOWN BANGALORE NORTH 
AN|AN0009|GANDHINAGAR HIGHER SECONDARY SCHOOL KUMARA PARK WEST EXTENSION BANGALORE NORTH 
AN|AN0010|ARYAVIDYASHALA HIGH SCHOOL GANDHINAGAR BANGALORE NORTH 
AN|AN0011|SESHADRIPURAM HIGH SCHOOL SESHADRIPURAM BANGALORE NORTH 
AN|AN0012|SARVODAYA HIGH SCHOOL SRIRAMPURAM BANGALORE NORTH 
AN|AN0013|VIVEKAVARDHINI HIGH SCHOOL PRAKASHNAGAR BANGALORE NORTH 
AN|AN0014|ADARSHA HIGH SCHOOL FOR GIRLS NO.1268 8TH MAIN KN EXTN.YESHWANTPURA BANGALORE NORTH 
AN|AN0015|SEVA ASHRAM HIGH SCHOOL SRIRAMPURAM BANGALORE NORTH 
AN|AN0016|BASAVESWARA BOYS HIGH SCHOOL RAJAJINAGAR BANGALORE NORTH 
AN|AN0017|GOVERNMENT HIGH SCHOOL RAJAJINAGAR BANGALORE NORTH 
AN|AN0018|METHODIST MISSION HIGH SCHOOL 106,DHARMARAJA KOIL STREET BANGALORE NORTH 
AN|AN0019|RAGHAVENDRA HIGH SCHOOL MALLESWARAM BANGALORE NORTH 
AN|AN0020|RAJAJINAGAR EDN. SOCIETY GIRLS H S 4TH E BLOCK  RAJAJINAGAR BANGALORE NORTH 
AN|AN0022|VIDYA VARDHAKA SANGHA HIGH SCHOOL I BLOCK RAJAJINGAR BANGALORE NORTH 
AN|AN0023|GANDHI VIDYASHALA HIGH SCHOOL SREERAMAPURAM BANGALORE NORTH 
