DIST|PROJ|CIRCLE|ANG_CODE|ANGANWADI|START_DATE|END_DATE| Number of students enrolled(boys)                                                                                |  Number of students enrolled(girl)                                                                                |  Number of students present(boy)                                                                                  |  Number of students present(girl)                                                                                 |  Where is the center functioning                                                                                  |  The anganwadi center is in a spacious room (35 sq according to ecce rule), meaning there is an indoor enclosure  |  There is an outdoor space for 30 children, with space of 30sq                                                    |  There is a toilet for children to use                                                                            |  There is pure drinking water facility                                                                            |  There is safety around the center                                                                                |  There is cleanliness around the center                                                                           |  The building is safe                                                                                             |  There is basic facility for children with special needs                                                          |  There is seating facility available for children                                                                 |  There is clean rooms to sit for children                                                                         |  There is dust and spider web inside the center room                                                              |  There is dust bin in the center                                                                                  |  There is seperate space for storing food items in the center                                                     |  Store room is clean                                                                                              |  Food to be distributed on that day was covered properly                                                          |  Cook/ chef are clean                                                                                             |  There is seperate place for children to wash hands after lunch                                                   |  First aid box contains all the necessary items                                                                   |  There is sufficient learning material and playing items for children                                             |  There is sufficient learning material for indoor activities                                                      |  Indoor learning materials are bieng used by children                                                             |  There is black board in the center and children are able to write on it                                          |  There is writings on the wall related to learning                                                                |   The medical report of every children is maintained                                                              |  BVS is present                                                                                                   |  Anganwadi friendship group is formed                                                                             |  Activities are conducted by anganwadi friendship group members                                                   |  Anganwadi worker is trained                                                                                      |  Learning materials present                                                                                       |  Number of students with special needs(boy)                                                                       |  Number of students with special needs(girl)                                                                      
 bangalore | anekal taluk                  | ballur                            |30936| MAYASANDRA  C                         | 2014-08-18 | 2015-12-30 |5|8|5|7|2|1|1|0|2|1|0|1|0|1|1|0|1|0|0|1|1|1|1|2|1|1|1|0|1|2|1|1|1|2|0|0
 bangalore | anekal taluk                  | ballur                            |33929| HALDENAHALLI                          | 2014-08-18 | 2015-12-30 |29|20|5|4|2|1|0|1|2|1|1|1|0|0|1|0|1|1|1|1|1|0|2|2|1|1|2|1|1|2|0|0|1|2|0|0
 bangalore | anekal taluk                  | ballur                            |33609| DINNURU                               | 2014-08-18 | 2015-12-30 |10|12|8|10|2|1|0|2|2|0|1|1|0|1|1|0|1|1|1|1|1|1|1|2|1|1|1|1|1|2|1|1|1|2|0|0
 bangalore | anekal taluk                  | ballur                            |30932| BALLURU B                             | 2014-08-18 | 2015-12-30 |8|3|6|6|2|1|1|2|2|1|1|1|0|1|1|0|1|0|1|1|1|1|2|2|1|1|0|1|1|2|0|0|1|2|0|0
 bangalore | anekal taluk                  | ballur                            |30935| BALLURU A                             | 2014-08-18 | 2015-12-30 |7|17|7|17|2|1|1|2|2|1|1|0|0|1|1|0|1|0|1|1|1|0|2|2|1|1|1|1|1|1|0|0|1|2|0|0
 bangalore | anekal taluk                  | haragadde                         |33575| SEETHANAYAKANAHALLI                   | 2014-08-18 | 2015-12-30 |9|8|8|5|2|1|1|1|2|1|1|1|0|1|1|0|1|1|1|1|1|1|2|2|1|1|2|1|1|1|1|0|1|2|0|0
 bangalore | anekal taluk                  | haragadde                         |29581| SURAGAJAKKANAHALLI                    | 2014-08-18 | 2015-12-30 |20|17|8|7|2|1|1|1|2|1|1|1|0|1|1|0|1|1|1|1|1|1|2|2|1|1|2|1|1|1|1|0|1|2|1|0
 bangalore | anekal taluk                  | haragadde                         |31466| NOSENURU                              | 2014-08-18 | 2015-12-30 |7|9|5|7|2|0|0|2|2|1|1|1|0|2|1|0|1|1|1|1|1|1|2|2|1|1|2|0|1|2|1|0|1|2|0|0
 bangalore | anekal taluk                  | haragadde                         |31376| MADAPATTANA A                         | 2014-08-18 | 2015-12-30 |12|18|12|18|2|1|1|0|2|1|1|1|0|0|1|0|1|0|1|1|1|1|2|2|1|1|2|1|1|2|1|0|1|2|0|0
 bangalore | anekal taluk                  | haragadde                         |31382| HARAGADDE A                           | 2014-08-18 | 2015-12-30 |16|10|8|11|2|1|1|2|2|1|1|1|0|1|1|0|1|1|1|1|1|1|2|2|1|1|2|0|1|1|1|0|1|2|0|0
 bangalore | anekal taluk                  | haragadde                         |33664| HARAGADDE  VADDARAPALYA               | 2014-08-18 | 2015-12-30 |11|14|8|10|2|0|0|2|2|1|1|1|0|2|1|0|1|1|1|1|1|1|2|2|1|1|2|0|1|2|1|0|1|2|0|0
 bangalore | anekal taluk                  | haragadde                         |36496| MADA PATTANA  B                       | 2014-08-18 | 2015-12-30 |16|17|9|11|1|0|0|0|2|1|1|1|0|1|1|0|1|0|0|1|1|1|2|2|1|1|0|1|1|1|1|0|1|2|0|0
 bangalore | anekal taluk                  | haragadde                         |36312| MADAPATTANA C                         | 2014-08-18 | 2015-12-30 |4|16|3|13|1|0|0|0|2|1|1|1|0|1|1|0|1|0|0|1|1|1|2|2|1|1|0|1|1|1|1|0|1|2|0|0
