DIST|BLK|CLUST|SCODE|SNAME|MOI|STUID|CSEX|CLANG|CLASS|ASSMNTNAME|PROGNAME|1| 2a       | 2b       | 3a       | 3b       | 4a       | 4b       | 5a       | 5b       | 5c       | 6a       | 6b       | 6c       | 7a       | 7b       | 7c       
 bangalore rural | hosakote | beguru          |35891| G HPS BEGURU                   | kannada |1552525| male   | telugu        |2| 2nd Pretest     | English        |1|1|1|0|1|0|1|1|1|1|1|1|1|1|1|1
 bangalore rural | hosakote | alappanahalli   |36131| G HPS KUMBALAHALLI             | kannada |1559028| male   | tamil         |2| 2nd Pretest     | English        |1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
 bangalore rural | hosakote | t agrahara      |36242| GLPS SHASHIMAKANA HALLI        | kannada |1562273| female | kannada       |2| 2nd Pretest     | English        |1|1|1|1|1|1|1|1|1|1|1|1|1|1|0|0
 bangalore rural | hosakote | hosakote town   |36021| G HPS M. V. EXTN. HOSKOTE      | kannada |1557358| male   | kannada       |2| 2nd Pretest     | English        |1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
 bangalore rural | hosakote | samethanahalli  |35984| G LPS BELLI KERE               | kannada |1559469| male   | telugu        |2| 2nd Pretest     | English        |1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
 bangalore rural | hosakote | samethanahalli  |35984| G LPS BELLI KERE               | kannada |1682995| male   | kannada       |2| 2nd Pretest     | English        |1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
 bangalore rural | hosakote | jadigenahalli   |36089| G UHPS KATTIGENAHALLI          | urdu    |1562989| male   | urdu          |2| 2nd Pretest     | English        |1|1|1|1|1|1|1|1|1|1|1|1|1|1|0|0
 bangalore rural | hosakote | nandagudi       |36081| G HPS N.HOSAHALLI              | kannada |1558844| female | kannada       |2| 2nd Pretest     | English        |1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
 bangalore rural | hosakote | hosakote town   |36015| G LPS SIDDARTHA NAGARA         | kannada |1557266| male   | telugu        |2| 2nd Pretest     | English        |1|1|1|0|0|1|1|1|1|1|1|1|1|1|0|0
 bangalore rural | hosakote | thavarekere     |35938| G LPS BEERAHALLI               | kannada |1557560| male   | kannada       |2| 2nd Pretest     | English        |1|1|1|0|1|1|1|1|1|0|1|1|1|1|1|1
 bangalore rural | hosakote | beguru          |35886| G HPS KAMBALIPURA              | kannada |1557735| female | kannada       |2| 2nd Pretest     | English        |1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
 bangalore rural | hosakote | shivanapura     |36053| G LPS GANJARLAHALLI            | kannada |1558473| male   | kannada       |2| 2nd Pretest     | English        |1|1|1|1|1|1|1|1|1|1|1|1|1|1|0|0
 bangalore rural | hosakote | bendiganahalli  |36190| GHPS ANUPAHALLI                | kannada |1682804| female | kannada       |2| 2nd Pretest     | English        |1|1|1|0|0|1|1|1|1|1|1|1|1|1|1|1
 bangalore rural | hosakote | mugbala         |35945| G LPS DABBAGUNTAHALLI          | kannada |1566547| female | telugu        |2| 2nd Pretest     | English        |1|0|0|0|0|1|0|1|0|0|1|1|1|0|1|0
 bangalore rural | hosakote | doddanhulluru   |36225| GHPS KURUBARAHALLI             | kannada |1561278| male   | kannada       |2| 2nd Pretest     | English        |1|1|1|1|1|0|0|1|1|0|1|0| NA          | NA          | NA          | NA          
 bangalore rural | hosakote | thavarekere     |36273| GLPS BANDAHALLI                | kannada |1645459| male   | kannada       |2| 2nd Pretest     | English        |1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
 bangalore rural | hosakote | alappanahalli   |36132| G LPS CHOWLU THOTA             | kannada |1552729| female | tamil         |2| 2nd Pretest     | English        |1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
 bangalore rural | hosakote | bendiganahalli  |36029| G HPS BENDIGANAHALLI           | kannada |1682860| male   | kannada       |2| 2nd Pretest     | English        | AB          | AB          | AB          | AB          | AB          | AB          | AB          | AB          | AB          | AB          | AB          | AB          | AB          | AB          | AB          | AB          
 bangalore rural | hosakote | kalkunte        |36118| G LPS MARANAGERE               | kannada |1566442| male   | telugu        |2| 2nd Pretest     | English        | NA          | NA          | NA          |1|1|1|1|1|1|1|0|1|0|1|1|1
 bangalore rural | hosakote | mugbala         |36058| G ULPS MUGABALA                | urdu    |1607469| female | urdu          |2| 2nd Pretest     | English        |1|1|1|1|1|1|1|1|1|1|1|1|1|0|0|0
 bangalore rural | hosakote | samethanahalli  |35974| G HPS NADUVATTI                | kannada |1559790| female | kannada       |2| 2nd Pretest     | English        |1|1|1|1|1|0|1|1|1|1|1|1|1|1|1|1
 bangalore rural | hosakote | thavarekere     |35934| G LPS MANCHAPPANAHALLI         | kannada |1682551| male   | kannada       |2| 2nd Pretest     | English        |0|1|1|1|1|1|1|1|1|1|0|0|0|0|0|0
 bangalore rural | hosakote | kalkunte        |36113| G LPS THATTANUR                | kannada |1560023| male   | kannada       |2| 2nd Pretest     | English        |1|1|1|1| NA          |1|1|1|1|1|1|0|1| NA          |1|1
 bangalore rural | hosakote | mugbala         |36200| GHPS GOTTIPURA                 | kannada |1559443| male   | telugu        |2| 2nd Pretest     | English        |1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
 bangalore rural | hosakote | jadigenahalli   |36089| G UHPS KATTIGENAHALLI          | urdu    |1681949| male   | urdu          |2| 2nd Pretest     | English        |1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
 bangalore rural | hosakote | doddanhulluru   |36203| GHPS DASARAHALLI               | kannada |1559695| male   | tamil         |2| 2nd Pretest     | English        |1|1|1|1|1|1|1|1|1|1|1|1|1| NA          |0|1
 bangalore rural | hosakote | doddanhulluru   |36199| GLPS CHIKKAHULLUR              | kannada |1559392| female | kannada       |2| 2nd Pretest     | English        | AB          | AB          | AB          | AB          | AB          | AB          | AB          | AB          | AB          | AB          | AB          | AB          | AB          | AB          | AB          | AB          
 bangalore rural | hosakote | thavarekere     |35941| G LPS GANGAPURA                | kannada |1566247| female | telugu        |2| 2nd Pretest     | English        |1|1|1|0|0|1|1|1|1|0|1|0|0|0|0|0
