DIST|BLK|CLUST|SCODE|SNAME|MOI|STUID|CSEX|CLANG|CLASS|ASSMNTNAME|PROGNAME|1| 2a       | 2b       | 3a       | 3b       | 4a       | 4b       | 5a       | 5b       | 5c       |6| 7a       | 7b       | 8a       | 8b       | 8c       | 9a       | 9b       | 9c       | 9d       | 10a      | 10b      | 10c      
 bangalore rural | hosakote | devanagundi     |35986| G HPS DODDA DUNNASANDRA        | kannada |1561764| male   | kannada       |4| 4th Pretest     | English        |1|1|1|1|1|1|1|1|1|1|1|0|0|1|1|1|1|0|0|1|1|1|1
 bangalore rural | hosakote | hosakote town   |36013| G LPS VARADAPURA               | kannada |1552441| male   | urdu          |4| 4th Pretest     | English        |1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
 bangalore rural | hosakote | thavarekere     |35942| G LPS PUJARAMANAHALLI          | kannada |1557226| female | tamil         |4| 4th Pretest     | English        |1|1|1|1|1|1|0|1|1|1|0|0|0|1|1|1|1|1|1|1|1|1|1
 bangalore rural | hosakote | alappanahalli   |36121| G HPS KAMMASANDRA              | kannada |1557910| male   | kannada       |4| 4th Pretest     | English        |1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|0|1|0|1|1|1
 bangalore rural | hosakote | bilanarasapura  |35915| G HPS KARAHALLI                | kannada |1562780| female | kannada       |4| 4th Pretest     | English        |1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
 bangalore rural | hosakote | kalkunte        |36110| G HPS KALKUNTE AGRAHARA        | kannada |1609171| female | kannada       |4| 4th Pretest     | English        |1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
 bangalore rural | hosakote | doddagattinabbe |36227| GHPS KANNURHALLI               | kannada |1561473| male   | kannada       |4| 4th Pretest     | English        |1|1|1|1|0|0|0|0|1|1|0|0|1|1|1|1|1|1|1|1|1|1|1
 bangalore rural | hosakote | thavarekere     |35936| G HPS THAVAREKERE              | kannada |1607672| female | kannada       |4| 4th Pretest     | English        |1|1|1|1|1|1|1|1|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1
 bangalore rural | hosakote | hosakote town   |36248| G KGKMS TOWN                   | kannada |1563367| male   | telugu        | 4D            | 4th Pretest     | English        |1|1|1|1|1|1|1|1|1|1|0|0|0|1|1|1|0|1|0|1|1|1|1
 bangalore rural | hosakote | t agrahara      |36240| GHPS T AGRAHARA                | kannada |1562262| female | kannada       |4| 4th Pretest     | English        |1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
 bangalore rural | hosakote | samethanahalli  |35973| G LPS KORALURU                 | kannada |1660797| female | kannada       |4| 4th Pretest     | English        |1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|0|1|1|1|1|1
 bangalore rural | hosakote | bilanarasapura  |35926| G LPS AGASARAHALLI             | kannada |1562930| female | kannada       |4| 4th Pretest     | English        |1|1|1|1|1|0| NA          |1|1|1|1| NA          | NA          |1|1|1|1|1|1|1|1|1|1
 bangalore rural | hosakote | alappanahalli   |36127| G LPS VABHASANDRA              | kannada |1557862| male   | kannada       |4| 4th Pretest     | English        |0| NA          |0| NA          | NA          | NA          | NA          | NA          |0|0| NA          | NA          | NA          |1|1|1|0|0| NA          |0|1|1|1
 bangalore rural | hosakote | doddanhulluru   |36201| GHPS SOMAPURA                  | kannada |1559542| male   | telugu        |4| 4th Pretest     | English        |1|1|1|1|1|0| NA          |1|1|1|0| NA          | NA          |1|1|1|0|0|1|0|1|1|1
 bangalore rural | hosakote | sulibele        |36141| G ULPS JANATHA COLONY          | urdu    |1558537| female | urdu          |4| 4th Pretest     | English        |1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
