sl no|  block   |     cluster     |          school_name           | klp_id | cls1_cnt | cls2_cnt | cls3_cnt | cls4_cnt | cls5_cnt | cls6_cnt | cls7_cnt 
1| hosakote | shivanapura     | G LPS KORADAHALLI              |36041|0|5|3|2|7|6|0
2| hosakote | doddagattinabbe | G HPS JINNAGARA                |36003|0|4|2|10|1|3|0
3| hosakote | sulibele        | G LPS VALAGEREPURA             |35881|6|8|3|7|0|16|0
4| hosakote | sulibele        | G LPS SADAPPANAHALLI           |35884|7|4|5|5|6|8|0
5| hosakote | beguru          | G LPS M.SATHYAVARA             |35885|0|13|11|7|4|7|0
6| hosakote | beguru          | G ULPS E.MUTHASANDRA           |35887|0|2|3|0|3|4|0
7| hosakote | beguru          | G LPS CHIKKA KOLIGA            |35889|0|0|2|5|6|8|0
8| hosakote | beguru          | G LPS DODDA KOLIGA             |35890|0|0|0|1|1|3|0
9| hosakote | beguru          | G LPS SONNEBACHANAHALLI        |35892|0|1|1|0|3|4|0
10| hosakote | sulibele        | G HPS KURUBARAPETE SULIBELE    |35876|9|10|9|7|12|10|0
11| hosakote | beguru          | G LPS BAGALURU                 |35893|0|1|2|5|3|0|0
12| hosakote | beguru          | G LPS BHEEMAKANAHALLI          |35894|0|6|5|7|8|7|0
13| hosakote | nelavagilu      | G LPS LAKSHMIPURA              |35906|0|0|3|5|5|3|0
14| hosakote | nelavagilu      | G ULPS CHIKKONDAHALLI          |35907|          |          |          |          |          |          |         
15| hosakote | nelavagilu      | G LPS AREHALLI                 |35910|0|4|3|3|5|2|0
16| hosakote | nelavagilu      | G LPS YETHONODEYANAPURA        |35911|0|3|8|0|5|5|0
17| hosakote | nelavagilu      | G ULPS K.SHETTYHALLI           |35914|0|3|4|3|4|0|0
18| hosakote | nelavagilu      | G LPS MUDDANAHALLI             |35918|0|2|8|2|4|7|0
19| hosakote | thavarekere     | G LPS YELACHAHALLI             |35931|0|4|3|2|3|0|0
20| hosakote | thavarekere     | G ULPS YELACHAHALLI            |35932|0|9|11|10|9|11|0
21| hosakote | thavarekere     | G LPS CB COLONY                |35933|0|3|4|3|7|2|0
