4358|29120901904|" GHPS ANDHRAL                                        "|" bellary  "|" bellary east       "|" andral"
4353|29120900104|" GHPS      BAPUJI NAGAR                              "|" bellary  "|" bellary east       "|" andral"
4361|29120905701|" GHPS  KAMMARCHEDU                                   "|" bellary  "|" bellary east       "|" andral"
4362|29120908501|" GHPS Y. BHUDIHAL                                    "|" bellary  "|" bellary east       "|" andral"
4363|29120908503|" GLPS BENCHIKOTTALU                                  "|" bellary  "|" bellary east       "|" andral"
4360|29120903301|" GLPS BURRANAYAKANA HALLI                            "|" bellary  "|" bellary east       "|" andral"
4359|29120902203|" GLPS D.C.COLONY ANDRAL                              "|" bellary  "|" bellary east       "|" andral"
4364|29120908504|" GLPS MALAGADDA CAMP                                 "|" bellary  "|" bellary east       "|" andral"
4356|29120900802|" GLPS   SREERAMA NAGAR TELUGU                        "|" bellary  "|" bellary east       "|" andral"
4357|29120901203|" GUHPS    LOHAR MOHELLA                              "|" bellary  "|" bellary east       "|" andral"
4355|29120900801|" GULPS ANDHRAL                                       "|" bellary  "|" bellary east       "|" andral"
4354|29120900301|" GUMHPS HIRIYALKUDAM                                 "|" bellary  "|" bellary east       "|" andral"
4426|29120902401|" GHPS  BANAPURA                                      "|" bellary  "|" bellary east       "|" banapura"
4427|29120902501|" GHPS  BASARAKODU                                    "|" bellary  "|" bellary east       "|" banapura"
4428|29120903501|" GHPS CHAGANUR                                       "|" bellary  "|" bellary east       "|" banapura"
4429|29120904201|" GHPS GOTUR                                          "|" bellary  "|" bellary east       "|" banapura"
4430|29120904501|" GHPS HIRE HADLIGI                                   "|" bellary  "|" bellary east       "|" banapura"
4329|29120905601|" GHPS  KARICHEDU                                     "|" bellary  "|" bellary east       "|" banapura"
4431|29120905301|" GHPS  K.K HAL                                       "|" bellary  "|" bellary east       "|" banapura"
4432|29120906101|" GHPS  MASIDIPURA                                    "|" bellary  "|" bellary east       "|" banapura"
4433|29120906303|" GHPS   SHIVAPURA                                    "|" bellary  "|" bellary east       "|" banapura"
4434|29120908102|" GHPS VANENUR BELLARY                                "|" bellary  "|" bellary east       "|" banapura"
29799|"             "|" YYY GHPS BYARADEVANAHALLI                           "|" bellary  "|" bellary east       "|" banapura"
4305|29120902801|" GHPS  BYLOOR                                        "|" bellary  "|" bellary east       "|" dammur"
4307|29120903701|" GHPS DAMMUR                                         "|" bellary  "|" bellary east       "|" dammur"
4312|29120907601|" GHPS SINDHIGERI                                     "|" bellary  "|" bellary east       "|" dammur"
4311|29120903801|" GLPS DAMMUR KAGGAL                                  "|" bellary  "|" bellary east       "|" dammur"
4313|29120907603|" GLPS GOPALAPURAM CAMP                               "|" bellary  "|" bellary east       "|" dammur"
4309|29120903704|" GLPS INDRA NAGAR KOLUR CROSS                        "|" bellary  "|" bellary east       "|" dammur"
4306|29120902802|" GLPS MALLESWARA CAMP                                "|" bellary  "|" bellary east       "|" dammur"
4308|29120903702|" GLPS SINGADEVANA HALLI                              "|" bellary  "|" bellary east       "|" dammur"
4310|29120903708|" GLPS SRI RAMA NAGARA DAMMUR                         "|" bellary  "|" bellary east       "|" dammur"
4408|29120907202|" GHPS   CHERAKUNTA                                   "|" bellary  "|" bellary east       "|" halkundi"
4401|29120904301|" GHPS HALKUNDHI                                      "|" bellary  "|" bellary east       "|" halkundi"
4405|29120906501|" GHPS MINCHERI                                       "|" bellary  "|" bellary east       "|" halkundi"
4407|29120907001|" GHPS S.R. KOTE                                      "|" bellary  "|" bellary east       "|" halkundi"
4403|29120904601|" GLPS  HONNALLI                                      "|" bellary  "|" bellary east       "|" halkundi"
4404|29120904602|" GLPS    HONNALLI THANDA                             "|" bellary  "|" bellary east       "|" halkundi"
4402|29120904302|" GLPS V B S MATTA HALAKUNDI                          "|" bellary  "|" bellary east       "|" halkundi"
4406|29120906502|" GULPS MINCHERI                                      "|" bellary  "|" bellary east       "|" halkundi"
4371|29120905201|" GHPS  KAPPAGAL                                      "|" bellary  "|" bellary east       "|" kappgal road bellary"
4373|29120907101|" GHPS SANGANA KAL                                    "|" bellary  "|" bellary east       "|" kappgal road bellary"
4375|29120907701|" GHPS SIRWARA                                        "|" bellary  "|" bellary east       "|" kappgal road bellary"
