 district |       block        |          cluster          | school_code |             school_name             | no_of_classroom | lowest_class | highest_class | no_of_teachers | no_of_students | no_of_headteacher 
 BELLARY  | BELLARY EAST       | ANDRAL                    |29120900607| GUMHPS HIRIYALKUDAM                 |7|1|8|12|377|0
 BELLARY  | BELLARY EAST       | ANDRAL                    |29120900613| GULPS    LOHAR MOHELLA              |2|1|5|5|136|0
 BELLARY  | BELLARY EAST       | ANDRAL                    |29120900907| GUHPS ANDHRAL                       |3|1|5|5|115|0
 BELLARY  | BELLARY EAST       | ANDRAL                    |29120900909| GHPS ANDHRAL                        |12|1|8|11|538|1
 BELLARY  | BELLARY EAST       | ANDRAL                    |29120900911| GLPS SREERAMA NAGAR TELUGU          |3|1|5|4|52|0
 BELLARY  | BELLARY EAST       | ANDRAL                    |29120900913| GLPS D.C.COLONY ANDRAL              |5|1|5|4|153|0
 BELLARY  | BELLARY EAST       | ANDRAL                    |29120903301| GHPS BURRANAYAKANA HALLI            |6|1|8|4|103|0
 BELLARY  | BELLARY EAST       | ANDRAL                    |29120905701| GHPS  KAMMARCHEDU                   |7|1|8|8|190|1
 BELLARY  | BELLARY EAST       | ANDRAL                    |29120905702| GLPS MALAGADDA CAMP                 |5|1|5|3|78|0
 BELLARY  | BELLARY EAST       | ANDRAL                    |29120908501| GHPS Y. BHUDIHAL                    |16|1|8|12|501|1
 BELLARY  | BELLARY EAST       | ANDRAL                    |29120908503| GLPS BENCHIKOTTALU                  |2|1|5|2|31|0
 BELLARY  | BELLARY EAST       | BANAPURA                  |29120902401| GHPS  BANAPURA                      |4|1|7|3|55|0
 BELLARY  | BELLARY EAST       | BANAPURA                  |29120902502| GHPS BASARAKODU                     |7|1|8|12|363|1
 BELLARY  | BELLARY EAST       | BANAPURA                  |29120902701| GHPS  BENNI KALLU                   |8|1|8|9|534|0
 BELLARY  | BELLARY EAST       | BANAPURA                  |29120902702| GHPS BENNIKALLU HOSA BADAVANE       |6|1|8|9|398|0
 BELLARY  | BELLARY EAST       | BANAPURA                  |29120904201| GHPS GOTUR                          |7|1|8|8|212|1
 BELLARY  | BELLARY EAST       | BANAPURA                  |29120904501| GHPS HIRE HADLIGI                   |8|1|7|12|390|0
 BELLARY  | BELLARY EAST       | BANAPURA                  |29120905301| GHPS  K.K HAL                       |8|1|7|5|142|1
 BELLARY  | BELLARY EAST       | BANAPURA                  |29120905601| GHPS  KARICHEDU                     |8|1|8|6|196|1
 BELLARY  | BELLARY EAST       | BANAPURA                  |29120906101| GHPS  MASIDIPURA                    |7|1|8|4|156|1
 BELLARY  | BELLARY EAST       | BANAPURA                  |29120908102| GHPS VANENUR BELLARY                |8|1|8|8|354|0
 BELLARY  | BELLARY EAST       | DAMMUR                    |29120902801| GHPS  BYLOOR                        |9|1|8|12|627|1
 BELLARY  | BELLARY EAST       | DAMMUR                    |29120902803| GLPS GOPALAPURAM CAMP               |3|1|5|3|26|0
 BELLARY  | BELLARY EAST       | DAMMUR                    |29120902804| GLPS BALAYYA CAMP                   |1|1|5|2|23|0
 BELLARY  | BELLARY EAST       | DAMMUR                    |29120903701| GHPS DAMMUR                         |9|1|8|10|396|0
