 district |   block   |       cluster       | school_code |             school_name             | building_status | no_of_classroom | common_toilet | girls_toilet | electricity | playground | ramps | library | no_of_books | compound | drinking_water | no_of_blackboard | medical_checkup | computer_lab | no_of_computers | no_of_teachers | no_of_students | no_of_headteacher 
 GADAG    | MUNDARAGI | BAGEWADI            |29080202201| GHPS CHIKKAWADDATTI                 |3|12|1|1|1|1|1|1|12000|7|2|9|1|1|2|10|354|0
 GADAG    | MUNDARAGI | BAGEWADI            |29080202301| GHPS GUDDADBUDIHAL                  |3|7|1|1|1|1|1|1|1450|1|3|5|1|2|0|3|67|0
 GADAG    | MUNDARAGI | BAGEWADI            |29080202401| GHPS MURADI                         |3|7|1|1|1|1|1|1|1500|1|1|8|1|2|0|4|179|2
 GADAG    | MUNDARAGI | BAGEWADI            |29080202501| GLPS MARUTHINAGAR( MURADI T)        |3|6|1|1|1|1|1|1|1900|7|1|4|1|2|0|4|182|0
 GADAG    | MUNDARAGI | BAGEWADI            |29080202502| S.H.V.K.S. LPS MARUTINAGAR          |2|4|1|1|1|2|1|2|0|5|2|3|1|2|0|3|51|0
 GADAG    | MUNDARAGI | BAGEWADI            |29080202901| GHPS BAGEWADI                       |3|6|1|1|1|2|1|1|2100|1|4|7|1|2|0|6|176|1
 GADAG    | MUNDARAGI | BAGEWADI            |29080202902| GHPGS BAGEWADI                      |3|5|1|1|1|2|1|1|1358|1|4|6|1|2|0|6|146|1
 GADAG    | MUNDARAGI | BAGEWADI            |29080204701| GHPS MALLIKARJUNAPURA               |3|5|1|1|1|1|1|1|1126|7|4|5|1|2|0|2|51|0
 GADAG    | MUNDARAGI | BIDARALLI           |29080204601| GHPS JALAWADAGI                     |3|8|1|1|1|1|1|1|1539|7|4|8|1|2|0|2|61|0
 GADAG    | MUNDARAGI | BIDARALLI           |29080204801| GHPS MUNDAWAD                       |3|10|1|1|1|1|1|1|1880|7|1|8|2|1|3|3|47|0
 GADAG    | MUNDARAGI | BIDARALLI           |29080204901| GHPS BIDARALLI                      |3|11|1|2|1|1|1|1|1400|7|2|11|1|1|6|6|278|0
 GADAG    | MUNDARAGI | BIDARALLI           |29080204903| TUNGABHADRA LPS BIDARAHALLI         |3|3|1|1|2|2|2|2|0|2|2|2|2|2|0|2|24|0
 GADAG    | MUNDARAGI | BIDARALLI           |29080205001| GHPS VITHALAPUR                     |3|4|1|1|1|2|1|1|640|7|1|6|1|2|0|4|67|1
 GADAG    | MUNDARAGI | DAMBAL              |29080201501| GMCS DAMBAL                         |3|15|1|1|1|1|1|1|3064|1|3|8|1|2|0|10|330|1
 GADAG    | MUNDARAGI | DAMBAL              |29080201503| GHPS DPEP DAMBAL                    |3|12|1|1|1|2|1|2|300|1|3|10|1|2|0|10|408|1
 GADAG    | MUNDARAGI | DAMBAL              |29080201504| GHPGS DAMBAL                        |3|15|1|2|1|1|1|1|500|1|3|12|1|1|11|9|304|1
 GADAG    | MUNDARAGI | DAMBAL              |29080201505| GHPS RAMENAHALLI D.S(DAMBAL)        |3|6|1|1|1|1|1|1|706|1|3|6|1|2|0|6|153|1
 GADAG    | MUNDARAGI | DAMBAL              |29080201506| GLPS NARAYANAPUR( DAMBAL)           |3|3|1|1|1|1|1|1|315|7|3|2|1|2|0|2|28|0
 GADAG    | MUNDARAGI | DAMBAL              |29080201507| GLPS HOSUR DAMBAL                   |3|3|1|1|1|1|1|1|217|7|3|5|1|2|0|3|62|1
 GADAG    | MUNDARAGI | DAMBAL              |29080201511| RANI CHANAMMA RESI SCH DAMBAL       |4|2|3|8|1|1|1|1|100|1|2|5|1|2|1|9|124|0
 GADAG    | MUNDARAGI | HIREWADDTTI         |29080202001| GHPS TAMBRAGUNDI                    |3|4|1|1|1|2|1|1|398|7|2|10|1|2|1|5|74|1
 GADAG    | MUNDARAGI | HIREWADDTTI         |29080202101| GLPS HIREWADDATTI                   |3|4|1|1|1|1|1|1|738|5|4|4|1|2|0|4|66|0
 GADAG    | MUNDARAGI | HIREWADDTTI         |29080202103| GMCS HIREWADDATTI                   |3|7|1|2|1|1|1|1|2500|7|3|16|1|1|5|9|264|1
 GADAG    | MUNDARAGI | HIREWADDTTI         |29080202104| GHPGS HIREWADDATTI                  |3|7|2|1|1|1|1|1|1200|7|3|10|1|2|0|7|261|1
 GADAG    | MUNDARAGI | HIREWADDTTI         |29080202105| SKMKMPS HIREWADDATTI                |1|5|1|1|1|1|2|2|0|5|4|5|1|2|0|7|287|1
 GADAG    | MUNDARAGI | HIREWADDTTI         |29080202106| J.J.KANNADA SCHOOL                  |2|6|1|1|1|1|2|1|1200|5|3|6|1|2|0|6|157|0
 GADAG    | MUNDARAGI | HIREWADDTTI         |29080202601| GHPS KELUR                          |3|5|1|1|1|1|1|1|784|7|4|5|1|1|1|3|120|0
 GADAG    | MUNDARAGI | HIREWADDTTI         |29080202701| GLPKGS HAROGERI                     |3|4|1|2|1|1|1|1|250|5|3|3|1|2|0|3|87|0
