block|old_cluster|school_name|school_id|cluster_id|new_cluster|||||
bangalore anekal|hebbagodi|GKHPS Igluru|32703|9161|chandapura|||||
bangalore anekal|neralooru|GKHPS Muthanalluru|33393|9161|chandapura|||||
bangalore anekal|neralooru|GKHPS Singana agrahara|33394|9161|chandapura|||||
bangalore anekal|neralooru|GKLPS Narayana ghatta|33399|9161|chandapura|||||
bangalore anekal|harappana halli|GKHPS RAGIHALLI|32627|9088|mantapa|||||
bangalore anekal|hebbagodi|GKLPS BANAHALLI|32708|9161|chanda pura|||||
bangalore anekal|hebbagodi|GKLPS LAXMISAGAR|32710|9161|chanda pura|||||
bangalore anekal|hebbagodi|GKHPS SHEELALIGE|32702|9161|chanda pura|||||
bangalore anekal|hebbagodi|GKHPS RAMSAGARA|32707|9161|chanda pura|||||
bangalore anekal|huskuru|GKMPS KOODLU|32862|8949|hebbagodi|||||
bangalore anekal|chikkahosahalli|GKHPS SURAGAJAKKANAHAL|32517|8955|haragadde||||| 
bangalore anekal|hennagara|GKHPS KOPPAGATE|33432|8801|jigani|||||
bangalore anekal|hennagara|GKHPS KOPPAGATE|33431|8801|jigani|||||
bangalore anekal|harapanahalli|GKLPS ANNAYYANADODDI|32618|9088|mantapa|||||
bangalore anekal|haragadde|GKLPS H. Manchanahalli|32809|8801|jigani|| |||
bangalore anekal|anekal urdu|GUHPS Shikaripalya|33387|8872|hennagara |||||
bangalore anekal|hebbagodi|GKHPS CHATHRAKANE|32700|9161|chandapura|||||
bangalore north 1|rajajinagar|GKHPS JUGANAHALLI|33310|9166|juganahalli|||||
bangalore north 1|rajajinagar|GKHPS RAJAJINAGAR 5TH AND 6TH BLOCK|32828|9166|juganahalli|||||
bangalore north 1|machohalli|GKHPS MALLASANDRA MACHOHALLI|32753|9007|sondekoppa|||||
bangalore north 1|machohalli|GKLPS DEVINANJAYYANAPALYA|32759|9007|sondekoppa|||||
bangalore north 1|machohalli|GKHPS RAVUTHANAHALLI|32754|9007|sondekoppa|||||
bangalore south 1|hosakere halli|GKLPS Chikkalasandra|32739|8956|uttarahalli|||||
bangalore south 1|ganapathi halli|GKLPS C K Thandya|32111|9156|ramohalli|||||
bangalore south 1|kumbalagodu|GKLPS GAVIYANAPALYA|31984|8855|k gollahalli|||||
bangalore south 1|taverkere|GKHPS DEVAMACHOHALLI|32232|9157|cholanayakanahalli|||||
bangalore south 1|vajarahalli|GKHPS GANIGARAPALYA|32865|8956|uttarahalli|||||
bangalore south 1|uttarahalli|GKLPS YADALAMA NAGARA|32820|9167|vasanthapura|||||
bangalore south 1|kengeri|GKLPS Rachanamadu|32430|8961|vajarahalli|||||
bangalore south 1|kumbalagodu|GKLPS Devagere colony|31982|8855|k gollahalli|||||
