district|block|klp_id|school_name|cluster_id|cluster
Dharwad|DHARWAD CITY|35846|DMHKBS PANCH KACHERI ONI DHD|9134|GANDHICHOUK
Dharwad|DHARWAD CITY|35441|DHPS NO.1 PANCH KACHERI ONI |9134|GANDHICHOUK
Dharwad|DHARWAD CITY|35459|D TCW DHARWAD|1282|MADARMADDI DWD
Dharwad|DHARWAD CITY|35461|DLPUS NEHARU NAGAR DHARWAD|1236|PHQ URDU DHARWAD
Dharwad|DHARWAD CITY|35443|DHPUS NO.4 GULAGANJIKOPPA DHD |1236|PHQ URDU DHARWAD
Dharwad|DHARWAD CITY|35464|DHPUS LAKKAMANAHALLI DHD|1236|PHQ URDU DHARWAD
Dharwad|DHARWAD CITY|35465|DLPUS NO.8 ATTIKOLLA DHD|1236|PHQ URDU DHARWAD
Dharwad|DHARWAD CITY|35458|DHPS NO.12 SAPTAPUR DHD|1285|SAPTAPUR DWD
Dharwad|DHARWAD CITY|35460|DHPS NEHRU NAGAR DHARWAD|1285|SAPTAPUR DWD
Dharwad|DHARWAD CITY|35457|DLPS GANESH NAGAR DHARWAD|1285|SAPTAPUR DWD
Dharwad|DHARWAD CITY|35444|DHPUS NO.2 MALAPUR DHARWAD|1284|TCW URDU DWD
Dharwad|DHARWAD CITY|35446|DLPS CHAPPARABAND COLONY  DHD|1284|TCW URDU DWD
Dharwad|DHARWAD|35292|HPS BENACHI|1228|ALNAVAR
Dharwad|DHARWAD|35275|SNSH GHPS KAVALAGERI|1229|AMMINABHAVI
Dharwad|DHARWAD|35139|HPS NEERALAKATTI|1230|GARAG
Dharwad|DHARWAD|35132|HPS URDU TADAKOD|9135|GARAG URDU
Dharwad|DHARWAD|35433|HPS URDU KOTUR|9135|GARAG URDU
Dharwad|DHARWAD|35134|HPUS AMMINBHAVI|9135|GARAG URDU
Dharwad|DHARWAD|35136|MPS URDU UPPINABETAGERI|9135|GARAG URDU
Dharwad|DHARWAD|35271|HPS VANAHALLI|1231|HEBBALLI
Dharwad|DHARWAD|35128|HPS BELLIGATTI|9136|MANAGUNDI
Dharwad|DHARWAD|35122|HPS SALAKINKOPPA|9136|MANAGUNDI
Dharwad|DHARWAD|35118|HPS BAAD|9136|MANAGUNDI
Dharwad|DHARWAD|35127|HPS MANAGUNDI|9136|MANAGUNDI
Dharwad|DHARWAD|35325|HPS KANAVIHONNAPUR|9136|MANAGUNDI
Dharwad|DHARWAD|35125|HPS MANSUR|9136|MANAGUNDI
Dharwad|DHARWAD|35323|HPS YARIKOPPA|9136|MANAGUNDI
Dharwad|DHARWAD|35130|HPS KYARAKOPPA|9137|MUMMIGATTI
Dharwad|DHARWAD|35316|HPS MUMMIGATTI|9137|MUMMIGATTI
Dharwad|DHARWAD|35137|HPS BELUR|9137|MUMMIGATTI
Dharwad|DHARWAD|35124|HPS CHIKKAMALLIGAWAD|9137|MUMMIGATTI
Dharwad|DHARWAD|35150|HPS LAKAMAPUR|1233|NARENDRA
Dharwad|DHARWAD|35309|HPS MANGALAGATTI|1233|NARENDRA
Dharwad|DHARWAD|35302|HPS DEVAGIRI|1235|NIGADI
Dharwad|DHARWAD|35436|HPS LALAGATTI|1235|NIGADI
Dharwad|DHARWAD|35154|HPS KOTABAGI|9138|TADAKOD
Dharwad|DHARWAD|35281|HPS HOSATTI|9138|TADAKOD
Dharwad|DHARWAD|35279|HPS MADANABHAVI|9138|TADAKOD
Dharwad|DHARWAD|35282|MPS TADAKOD|9138|TADAKOD
Dharwad|DHARWAD|35146|HPS JEERIGAWAD|9138|TADAKOD
Dharwad|DHARWAD|35284|HPS MUGALI|9138|TADAKOD
Dharwad|DHARWAD|35270|HPS KABBENNUR|1237|UPPINA BETAGERI
Dharwad|DHARWAD|35306|HPS VEERAPUR|9139|VEERAPUR
Dharwad|DHARWAD|35142|HPS MADIKOPPA|9139|VEERAPUR
Dharwad|DHARWAD|35304|HPS RAMAPUR|9139|VEERAPUR
Dharwad|HUBLI CITY|35359|HHPS RAMALINGESHWAR NAGAR|1292|BASAVESHWAR NAGAR HBL
Dharwad|HUBLI CITY|35365|HKGS NO.3 HALEHUBLI|1287|HALE HUBLI HBL
Dharwad|HUBLI CITY|35364|H TB.SHALADAR LPS AVARADIONI H|1287|HALE HUBLI HBL
Dharwad|HUBLI CITY|35381|HLPS GIRINICHAL HUBLI|1286|HOSUR HUBLI
Dharwad|HUBLI CITY|35404|HHPS SANTOSH NAGAR|1294|NAGASHETTIKOPPA HBL
Dharwad|HUBLI CITY|35373|HLPUS NAVA ANAND NAGAR HALEHBL|9142|SADASHIV NAGAR 
Dharwad|HUBLI CITY|35376|HHPUGS NO.3 KASABAPET|9142|SADASHIV NAGAR 
Dharwad|HUBLI CITY|35428|HLPUS RAMALINGESHWAR NAGAR|9142|SADASHIV NAGAR 
Dharwad|HUBLI CITY|35377|HLPUS SADASHIVA NAGAR|9142|SADASHIV NAGAR 
Dharwad|HUBLI CITY|35368|HHPUS BANATI KATTA HUBLI|9142|SADASHIV NAGAR 
Dharwad|HUBLI CITY|35369|HHPUS KILLA HALEHUBLI|9142|SADASHIV NAGAR 
Dharwad|HUBLI CITY|35375|HHPUBS NO.6 KASABAPET|9142|SADASHIV NAGAR 
Dharwad|HUBLI CITY|35378|HHPUS TIPPU NAGAR HALEHUBLI|9142|SADASHIV NAGAR 
Dharwad|HUBLI|35221|HPS CHEBBI|1242|ARALIKATTI
Dharwad|HUBLI|35222|LPS CHEBBI CROSS|1242|ARALIKATTI
Dharwad|HUBLI|35167|HPS KARADIKOPPA|9143|KATNUR
Dharwad|HUBLI|35170|HPS KURADIKERI|9143|KATNUR
Dharwad|HUBLI|35229|LPS MAVANUR|9143|KATNUR
Dharwad|HUBLI|35228|HPS KATNUR|9143|KATNUR
Dharwad|HUBLI|35230|HPS BUDARASHINGHI|9143|KATNUR
Dharwad|HUBLI|35231|HPS GIRIYAL|9143|KATNUR
Dharwad|HUBLI|35156|HPS RAMAPUR|9143|KATNUR
Dharwad|HUBLI|35251|KGS MANTUR|9145|MANTUR
Dharwad|HUBLI|35239|HPS NAGARALLI|9145|MANTUR
Dharwad|HUBLI|35217|KGS HALYAL|9145|MANTUR
Dharwad|HUBLI|35243|LPS DPEP MANTUR|9145|MANTUR
Dharwad|HUBLI|35242|LPS BHANDIWAD|9145|MANTUR
Dharwad|HUBLI|35216|KBS HALYAL|9145|MANTUR
Dharwad|HUBLI|35247|KBS MANTUR|9145|MANTUR
Dharwad|HUBLI|35246|HPS BHANDIWAD|9145|MANTUR
Dharwad|HUBLI|35159|HPS PALE|9146|VARUR
Dharwad|HUBLI|35350|HPS KAMPLIKOPPA|9146|VARUR
Dharwad|HUBLI|35162|HPS BELAGALLI|9146|VARUR
Dharwad|HUBLI|35169|HPS TIRUMALAKOPPA|9146|VARUR
Dharwad|HUBLI|35328|LPS INAMVEERAPUR|9146|VARUR
Dharwad|HUBLI|35165|LPS VARUR|9146|VARUR
Dharwad|HUBLI|35158|HPS BOMMASAMUDRA|9146|VARUR
Dharwad|HUBLI|35164|HPS VARUR|9146|VARUR
Dharwad|HUBLI|35157|HPS PALIKOPPA|9146|VARUR
